m_id,prime,C1,C2,C3,C4,C5,C6,Valence,Arousal,like,u_id
46,lyrics,0,1,-2,-1,1,1,1,0,1,8
65,lyrics,-2,-1,1,-1,0,-1,-2,-2,1,4
95,popular,1,-1,1,0,1,0,-1,1,0,8
85,none,2,0,-1,1,-1,-2,0,1,1,8
61,none,-1,-1,1,0,0,0,-1,-1,1,4
74,lyrics,-1,1,-2,-2,1,1,0,0,-1,8
48,none,1,0,-1,1,0,0,0,0,0,4
33,lyrics,1,1,0,2,-1,-1,-1,1,2,8
20,none,-1,0,1,-2,0,0,0,-1,0,8
98,va,1,0,-1,1,0,-1,0,1,0,8
80,lyrics,0,0,1,0,1,-1,-1,1,1,8
70,none,0,1,-1,-2,-1,1,0,-1,0,8
39,none,1,1,-2,0,-1,0,1,0,1,8
32,none,1,1,1,1,0,-1,0,1,1,8
96,lyrics,-1,0,1,-1,1,1,0,-1,1,8
84,lyrics,2,1,1,0,-1,0,-1,1,2,8
7,popular,2,0,1,1,0,-2,-1,1,0,8
3,lyrics,1,1,0,-1,1,1,1,0,1,8
48,none,0,-1,1,1,1,-2,-1,0,0,8
55,lyrics,1,-1,0,1,1,-2,0,1,1,8
91,popular,-1,-1,0,-2,-1,-2,0,0,-1,8
9,none,1,1,-1,0,0,1,2,0,2,4
73,va,0,0,-1,1,1,0,1,2,0,8
2,popular,1,1,0,1,0,1,1,1,2,4
21,lyrics,1,1,-1,0,1,1,1,1,1,8
85,none,1,0,0,2,0,0,0,1,0,4
69,popular,-1,-1,0,0,1,-2,0,0,-1,8
72,none,1,1,1,1,0,0,0,2,0,4
51,va,-1,1,-2,-2,0,1,0,-2,-1,8
23,none,0,0,0,0,0,0,1,1,0,6
91,popular,0,-1,0,1,0,0,0,0,-1,4
29,va,1,-1,0,1,0,-2,0,1,0,8
11,lyrics,-1,1,1,0,0,1,1,-2,1,6
67,va,-1,-1,1,1,0,0,-1,0,-2,4
54,none,-1,0,1,-1,-1,0,-1,1,0,8
80,popular,1,0,1,0,0,0,-1,0,0,6
56,popular,1,0,0,1,0,-1,0,1,1,8
17,none,0,-1,1,1,0,0,-1,1,1,4
67,va,-1,-2,0,0,1,-2,-2,1,-1,8
12,lyrics,0,0,1,1,-1,0,0,0,0,6
61,popular,1,1,0,-1,-1,0,0,-1,0,6
19,lyrics,-1,-1,1,-2,-1,-1,-2,-1,0,8
45,va,1,1,1,0,0,0,0,0,0,6
24,lyrics,1,1,1,0,1,-1,0,-1,0,6
74,popular,0,0,0,0,2,0,0,-2,0,6
68,none,1,1,1,1,0,0,0,1,0,6
3,popular,1,2,-1,0,1,0,1,0,0,6
39,popular,1,1,1,1,0,1,2,1,0,6
84,none,1,1,0,1,0,1,1,1,0,6
53,va,1,1,0,0,0,0,0,1,0,6
69,none,0,0,1,0,0,0,0,-1,1,6
85,popular,2,0,0,2,0,0,1,1,0,6
30,popular,1,0,0,0,0,0,0,1,0,6
16,va,-1,0,0,0,1,1,0,0,2,3
98,lyrics,-1,-1,-1,1,-1,-1,0,0,-2,3
72,va,1,1,0,1,0,0,0,1,0,6
17,lyrics,0,-2,1,1,-1,-2,-2,1,1,3
19,popular,0,0,1,-1,0,0,0,-1,0,6
